id,group,content,start_date,end_date,location
1,1,Hạ cách sân bay Incheon,2021-10-22T09:40:00Z,2021-10-22T10:20:00Z,1
2,1,Về khách sạn Hekook giữ hành lý,2021-10-22T10:20:00Z,2021-10-22T11:20:00Z,2
3,1,Ăn trưa gần khách sạn,2021-10-22T11:20:00Z,2021-10-22T11:50:00Z,2
4,1,Di chuyển tham quan đến bãi biển An Bàng,2021-10-22T12:00:00Z,2021-10-22T15:00:00Z,5
5,2,Đón khách tại Đà Nẵng,2021-10-22T06:30:00Z,2021-10-22T08:30:00Z,1
6,2,Vòng qua Cầu Rồng lưu lại dấu ấn trên Cầu Tình Yêu,2021-10-22T09:30:00Z,2021-10-22T10:30:00Z,6
7,2,Ăn trưa nhà hàng,2021-10-22T11:30:00Z,2021-10-22T12:30:00Z,6
8,2,Khởi hành vào Hội An bách bộ tham quan và mua sắm Phố Cổ,2021-10-22T14:30:00Z,2021-10-22T17:30:00Z,6
9,2,Ăn tối nhà hàng. Tự do thưởng ngoạn du thuyền trên sông Hàn ngắm cảnh Đà Thành về đêm,2021-10-22T19:30:00Z,2021-10-22T22:30:00Z,6
10,2,Ăn sáng nhà hàng,2021-10-23T06:30:00Z,2021-10-23T08:30:00Z,6
11,2,Khởi hành đi Bà Nà - Núi Chúa,2021-10-23T09:30:00Z,2021-10-23T10:30:00Z,9
12,2,Ăn trưa nhà hàng,2021-10-23T11:30:00Z,2021-10-23T12:30:00Z,9
13,2,Khởi hành đi Cố Đô Huế - Di sản văn hoá Thế Giới,2021-10-23T14:30:00Z,2021-10-23T17:30:00Z,8
14,2,Ăn tối nhà hàng với đặc sản xứ Huế,2021-10-23T19:30:00Z,2021-10-23T22:30:00Z,8
15,2,Điểm tâm sớm,2021-10-24T06:30:00Z,2021-10-24T08:30:00Z,8
16,2,Rời Huế đi Phong Nha - Kẻ Bàng,2021-10-24T09:30:00Z,2021-10-24T10:30:00Z,12
17,2,Ăn trưa nhà hàng tại Phong Nha,2021-10-24T11:30:00Z,2021-10-24T12:30:00Z,12
18,2,Ngồi thuyền ngược sông Son chinh phục Động Phong Nha,2021-10-24T14:30:00Z,2021-10-24T17:30:00Z,13
19,3,Đón khách sân bay Đà Nẵng,2021-11-14T06:30:00Z,2021-11-14T12:00:00Z,1
20,3,"Dùng bữa trưa, nhận phòng, nghỉ ngơi",2021-11-14T12:30:00Z,2021-11-14T14:30:00Z,1
21,3,Khởi hành đi Ngũ Hành Sơn,2021-11-14T15:00:00Z,2021-11-14T16:00:00Z,18
22,3,Làng đá Mỹ nghệ Non nước,2021-11-14T16:00:00Z,2021-11-14T17:00:00Z,19
23,3,Phố Cổ Hội An,2021-11-14T17:00:00Z,2021-11-14T18:00:00Z,20
24,3,"Đoàn dùng bữa tại nhà hàng ,thưởng thức các đặc sản tại Hội An",2021-11-14T18:00:00Z,2021-11-14T19:00:00Z,20
25,3,Đưa đoàn về Đà Nẵng theo cung đường ven biển,2021-11-14T19:00:00Z,2021-11-14T20:00:00Z,1
26,3,Nhận phòng khách sạn nghỉ ngơi,2021-11-14T20:00:00Z,2021-11-14T22:00:00Z,1
27,4,Khởi hành đi Đà Lạt,2022-01-21T05:45:00Z,2022-01-21T07:00:00Z,15
28,4,Quý khách dùng điểm tâm sáng tại Long Khánh,2022-01-21T07:00:00Z,2022-01-21T11:30:00Z,21
29,4,Quý khách dùng cơm trưa tại thành phố Bảo Lộc,2022-01-21T11:30:00Z,2022-01-21T12:30:00Z,22
30,4,Tiếp tục hành trình đến với Xứ sở ngàn hoa.,2022-01-21T12:30:00Z,2022-01-21T15:00:00Z,15
31,4,Đoàn tham quan QUE Garden,2022-01-21T15:00:00Z,2022-01-21T16:30:00Z,23
32,4,Xe đưa quý khách về trung tâm thành phố Đà Lạt,2022-01-21T16:30:00Z,2022-01-21T18:00:00Z,15
33,4," Quý khách dùng cơm tối tại nhà hàng địa phương. Sau đó chương trình tự do.
Nghỉ đêm tại Đà Lạt.",2022-01-21T18:00:00Z,2022-01-21T22:00:00Z,15
34,5,"Quý khách ăn sáng tại khách sạn,",2021-11-05T07:00:00Z,2021-11-05T08:00:00Z,15
35,5,Đoàn khởi hành đi tham quan Quảng trường Lâm Viên,2021-11-05T08:00:00Z,2021-11-05T08:45:00Z,24
36,5,Đoàn tham quan Nhà Ga Xe lửa Đà Lạt,2021-11-05T08:45:00Z,2021-11-05T09:30:00Z,25
37,5,Quý khách tham quan Khu du lịch Kim Ngân Hills,2021-11-05T09:30:00Z,2021-11-05T11:30:00Z,26
38,5,Quý khách dùng cơm trưa tại nhà hàng địa phương,2021-11-05T11:30:00Z,2021-11-05T13:00:00Z,15
39,5,Quý khách tham quan Nông trại Cún – Puppy Farm,2021-11-05T13:00:00Z,2021-11-05T15:30:00Z,27
40,5,Quý khách tiếp tục tham quan Nhà thờ Domaine de Marie,2021-11-05T15:30:00Z,2021-11-05T16:30:00Z,28
41,5,Trở về khách sạn nghỉ ngơi và chương trình tự do,2021-11-05T16:30:00Z,2021-11-05T22:00:00Z,15
42,6,Khởi hành đi Sapa,2021-12-12T06:45:00Z,2021-12-12T13:00:00Z,32
43,6,Đến Sapa,2021-12-12T13:00:00Z,2021-12-12T13:30:00Z,14
44,6,Tham quan bản Cát Cát,2021-12-12T13:30:00Z,2021-12-12T18:00:00Z,29
45,6,"Sau bữa tối, quý khách đi chợ tình SaPa",2021-12-12T18:00:00Z,2021-12-12T22:00:00Z,14
46,7,Dùng bữa sáng tại khách sạn,2022-04-11T06:30:00Z,2022-04-11T08:30:00Z,14
47,7,Chinh phục núi Hàm Rồng,2022-04-11T08:30:00Z,2022-04-11T10:00:00Z,30
48,7,Khám phá Nóc nhà Đông Dương – Đỉnh Fansipan,2022-04-11T10:00:00Z,2022-04-11T11:30:00Z,31
49,7,Quý khách về nhà hàng dùng bữa trưa,2022-04-11T11:30:00Z,2022-04-11T15:30:00Z,14
50,7,Lên xe giường nằm khởi hành về Hà Nội,2022-04-11T15:30:00Z,2022-04-11T21:30:00Z,14
51,7,Quý khách về đến trung tâm Tp Hà Nội,2022-04-11T21:30:00Z,2022-04-11T23:30:00Z,32
52,8,Đón khách tại thành phố Vinh,2022-05-12T11:15:00Z,2022-05-12T14:40:00Z,33
53,8,Đến sân bay Phú Quốc,2022-05-12T14:40:00Z,2022-05-12T15:30:00Z,34
54,8,Tham quan Dinh Cậu,2022-05-12T15:30:00Z,2022-05-12T18:00:00Z,35
55,8,"Ăn chiều, nhận phòng khách sạn, tự do tham quan",2022-05-12T18:00:00Z,2022-05-12T22:00:00Z,35
56,9,Quý khách ăn sáng tại khách sạn,2021-12-22T07:00:00Z,2021-12-22T10:30:00Z,35
57,9,Lên Cáp treo khám phá Hòn Thơm,2021-12-22T10:30:00Z,2021-12-22T11:00:00Z,36
58,9,"Đến Hòn Thơm, đoàn đi dùng bữa trưa  buffet tại khu du lịch Sun World - Hòn Thơm Aquatopia Water",2021-12-22T11:00:00Z,2021-12-22T16:00:00Z,37
59,9,Đoàn lên cáp treo về lại Đảo chính,2021-12-22T16:00:00Z,2021-12-22T18:00:00Z,38
60,9,"Xe đưa đoàn đi ăn chiều, tự do dạo chơi Phú Quốc về đêm",2021-12-22T18:00:00Z,2021-12-22T22:00:00Z,16