id,name,price,start_date,end_date
1,Du lịch Đà Nẵng mùa xuân,5000000,2022-03-20,2022-06-21
2,Du lịch Đà Nẵng mùa hè,5500000,2022-06-21,2022-09-23
3,Du lịch Đà Nẵng mùa thu,4000000,2021-09-23,2021-12-21
4,Du lịch Đà Nẵng mùa đông,3500000,2021-12-21,2022-03-20
5,Du lịch Cần Thơ mùa xuân,4000000,2022-03-20,2022-06-21
6,Du lịch Cần Thơ mùa hè,4300000,2022-06-21,2022-09-23
7,Du lịch Cần Thơ mùa thu,3000000,2021-09-23,2021-12-21 
8,Du lịch Cần Thơ mùa đông,2500000,2021-12-21,2022-03-20
9,Du lịch Đà Lạt mùa xuân,5500000,2022-03-20,2022-06-21
10,Du lịch Đà Lạt mùa hè,6000000,2022-06-21,2022-09-23
11,Du lịch Đà Lạt mùa thu,5000000,2021-09-23,2021-12-21
12,Du lịch Đà Lạt mùa đông,4000000,2021-12-21,2022-03-20
13,Du lịch Phú Quốc mùa xuân,90000000,2022-03-20,2022-06-21
14,Du lịch Phú Quốc mùa hè,10000000,2022-06-21,2022-09-23
15,Du lịch Phú Quốc mùa thu,8000000,2021-09-23,2021-12-21
16,Du lịch Phú Quốc mùa đông,7500000,2021-12-21,2022-03-20
17,Du lịch Sapa mùa xuân,12000000,2022-03-20,2022-06-21
18,Du lịch Sapa mùa hè,12500000,2022-06-21,2022-09-23
19,Du lịch Sapa mùa thu,10000000,2021-09-23,2021-12-21
20,Du lịch Sapa mùa đông,9500000,2021-12-21,2022-03-20